"Category Name","MIN Price","MAX Price","AVG Price"
"Laptops","2.85","3600.00","1028.95"
"Desktop PCs","3.99","4067.09","908.90"
"3D Printers","5.99","6027.26","661.85"
"Home Office Furniture","5.95","6083.58","513.31"
"Home Audio Record Players","2.29","2776.96","448.92"
"Digital Cameras","2.40","2790.00","433.69"
"Garden Storage & Housing","1.59","3607.99","370.19"
"Material Handling Products","6.05","4133.57","368.93"
"Graphics Cards","9.99","2380.94","361.86"
"Lenses","0.90","1989.00","355.79"
"Test & Measurement","3.59","3626.02","353.88"
"Barebone PCs","1.46","1549.00","349.43"
"Bedding Collections","2.45","1847.72","346.52"
"Snowboards","2.60","1053.81","335.44"
"Motorbike Exhaust & Exhaust Systems","7.29","1064.87","335.11"
"Home Entertainment","8.99","1499.00","330.13"
"Wind Instruments","3.00","2709.72","307.53"
"Projectors","0.96","2399.00","283.25"
"Snowboard Boots","3.23","755.66","270.94"
"Professional Medical Supplies","1.99","1800.99","261.97"
"PA & Stage","3.89","1309.00","261.57"
"Lab & Scientific Products","5.89","1979.34","254.55"
"Computer Printers","1.19","2393.13","250.64"
"Binoculars, Telescopes & Optics","0.01","3009.92","246.45"
"Uninterruptible Power Supply Units & Accessories","0.14","3636.50","242.80"
"Downhill Ski Boots","2.19","846.19","238.95"
"CPUs","4.99","5000.00","231.97"
"Decking & Fencing","2.99","1048.50","212.07"
"Monitors","2.00","2240.00","206.19"
"Digital Frames","3.79","1033.63","203.26"
"Darts & Dartboards","2.59","3585.96","201.31"
"Alexa Built-In Devices","24.99","809.99","192.32"
"Billiard, Snooker & Pool","4.30","3019.63","191.93"
"Home Brewing & Wine Making","2.99","1476.99","185.15"
"Mobile Phones & Smartphones","0.66","1059.00","174.95"
"Camcorders","1.33","1851.58","174.74"
"Motherboards","8.99","699.98","171.30"
"Downhill Skis","2.79","1246.79","168.04"
"Snowboard Bindings","3.15","673.99","167.68"
"Outdoor Heaters & Fire Pits","11.99","1683.01","165.99"
"Motorbike Boots & Luggage","7.00","526.00","161.36"
"Fireplaces, Stoves & Accessories","0.17","2060.50","142.77"
"Action Cameras","3.19","848.16","140.24"
"String Instruments","3.00","2399.00","136.52"
"Computer & Server Racks","4.00","1122.82","135.40"
"Kitchen Storage & Organisation","1.55","1333.00","133.53"
"Tablets","1.90","979.99","131.85"
"Flashes","1.31","1017.99","130.50"
"Coffee & Espresso Machines","3.35","728.95","123.86"
"Bedroom Furniture","0.33","533.99","122.58"
"Made in Italy Handmade","4.35","925.00","108.60"
"Scanners & Accessories","0.97","1732.87","107.73"
"Media Streaming Devices","1.06","519.98","107.57"
"Basketball Footwear","0.89","496.79","106.31"
"Dining Room Furniture","1.80","459.99","103.94"
"Cookware","1.52","2140.59","103.45"
"Surveillance Cameras","0.01","1455.89","102.68"
"Hi-Fi Speakers","0.01","909.99","102.17"
"Smartwatches","0.25","809.45","101.00"
"Hydraulics, Pneumatics & Plumbing","3.05","484.58","99.01"
"Internal TV Tuner & Video Capture Cards","4.41","499.00","94.65"
"Skiing Poles","7.83","257.80","93.84"
"Streaming Clients","9.70","826.42","91.66"
"KVM Switches","0.89","1378.75","91.15"
"Printer Accessories","2.92","1195.83","90.02"
"Ski Helmets","4.59","250.00","89.40"
"Computer Audio & Video Accessories","0.01","930.00","87.22"
"Bass Guitars & Gear","2.53","687.44","84.24"
"Home Bar Furniture","6.98","290.00","83.92"
"Inflatable Beds, Pillows & Accessories","5.99","357.90","83.58"
"Computer Cases","4.90","399.95","82.60"
"Motorbike Seat Covers","3.96","251.87","82.34"
"Sports & Outdoors","0.01","1493.80","80.09"
"Networking Devices","0.01","750.00","79.29"
"Men's Sports & Outdoor Shoes","1.58","249.87","77.53"
"Living Room Furniture","1.00","524.99","77.24"
"Power Supplies","4.59","244.00","75.59"
"Golf Shoes","2.99","273.28","74.84"
"Smart Home Security & Lighting","8.29","221.49","73.66"
"Radios & Boomboxes","1.41","446.12","73.65"
"Table Tennis","1.05","1329.71","73.55"
"Tripods & Monopods","0.01","647.00","73.22"
"Computers, Components & Accessories","3.15","742.12","73.16"
"Telephones, VoIP & Accessories","0.10","654.77","72.23"
"Women's Sports & Outdoor Shoes","3.20","226.00","70.56"
"Construction Machinery","1.00","982.44","70.34"
"Large Appliances","1.49","569.00","70.12"
"3D Printing & Scanning","1.94","799.00","69.52"
"Boxing Shoes","0.89","154.99","69.23"
"Hockey Shoes","8.59","149.57","69.21"
"Recording & Computer","0.01","495.00","68.14"
"Mowers & Outdoor Power Tools","1.00","679.64","67.37"
"Trampolines & Accessories","3.99","876.40","64.84"
"Home Cinema, TV & Video","0.60","1055.33","64.82"
