"Rank","Category Name","Sales Last Month","Percentage Contribution"
"1","Health & Personal Care","8201050","19.98"
"2","Grocery","4291050","10.46"
"3","Pet Supplies","3216450","7.84"
"4","Skin Care","2091050","5.10"
"5","Storage & Organisation","1780650","4.34"
"6","Arts & Crafts","1036250","2.53"
"7","Make-up","1007800","2.46"
"8","Office Supplies","963250","2.35"
"9","Office Paper Products","861450","2.10"
"10","Baby","752100","1.83"
"11","Beauty","738500","1.80"
"12","Bath & Body","698350","1.70"
"13","Pens, Pencils & Writing Supplies","646800","1.58"
"14","Gardening","632950","1.54"
"15","Sports & Outdoors","606200","1.48"
"16","Hardware","604700","1.47"
"17","Manicure & Pedicure Products","552050","1.35"
"18","Small Kitchen Appliances","534400","1.30"
"19","Cables & Accessories","473500","1.15"
"20","Beer, Wine & Spirits","472350","1.15"
"21","Kids' Art & Craft Supplies","436700","1.06"
"22","Agricultural Equipment & Supplies","417100","1.02"
"23","Luggage and travel gear","404100","0.98"
"24","Games & Game Accessories","402450","0.98"
"25","Kids' Dress Up & Pretend Play","371150","0.90"
"26","Women","354450","0.86"
"27","PC & Video Games","337600","0.82"
"28","Car & Motorbike","314350","0.77"
"29","Printers & Accessories","303100","0.74"
"30","Fragrances","299750","0.73"
"31","Light Bulbs","284050","0.69"
"32","Men","276000","0.67"
"33","Building & Construction Toys","275250","0.67"
"34","Vacuums & Floorcare","271800","0.66"
"35","Indoor Lighting","257450","0.63"
"36","Heating, Cooling & Air Quality","241050","0.59"
"37","Baby & Toddler Toys","239400","0.58"
"38","Hair Care","202700","0.49"
"39","Coffee, Tea & Espresso","189150","0.46"
"40","Power & Hand Tools","173950","0.42"
"41","Sports Toys & Outdoor","169550","0.41"
"42","Safety & Security","167400","0.41"
"43","Large Appliances","166300","0.41"
"44","Ironing & Steamers","165100","0.40"
"44","Kids' Play Figures","165100","0.40"
"46","Office Electronics","153250","0.37"
"47","Dolls & Accessories","146850","0.36"
"48","Learning & Education Toys","134950","0.33"
"49","Plants, Seeds & Bulbs","128850","0.31"
"50","Painting Supplies, Tools & Wall Treatments","125350","0.31"
"51","Soft Toys","113500","0.28"
"52","Sports Supplements","113300","0.28"
"53","String Lights","110800","0.27"
"54","Furniture & Lighting","107200","0.26"
"55","Garden Tools & Watering Equipment","105850","0.26"
"56","Jigsaws & Puzzles","105550","0.26"
"57","Hobbies","105100","0.26"
"58","Outdoor Lighting","104400","0.25"
"59","School & Educational Supplies","103450","0.25"
"60","Outdoor Cooking","90050","0.22"
"61","Luxury Food & Drink","88450","0.22"
"62","Electrical","84450","0.21"
"63","Water Coolers, Filters & Cartridges","80100","0.20"
"64","Kids' Play Vehicles","73400","0.18"
"65","Pools, Hot Tubs & Supplies","71550","0.17"
"66","Boys","62650","0.15"
"67","Guitars & Gear","61850","0.15"
"68","Garden Furniture & Accessories","61400","0.15"
"69","Bedroom Furniture","55950","0.14"
"70","Girls","55250","0.13"
"71","Building Supplies","54850","0.13"
"72","Mattress Pads & Toppers","54000","0.13"
"73","Wearable Technology","52800","0.13"
"74","Rugs, Pads & Protectors","45100","0.11"
"75","Living Room Furniture","44750","0.11"
"76","Cushions & Accessories","43000","0.10"
"77","Professional Medical Supplies","41700","0.10"
"78","Electronic Toys","41050","0.10"
"79","Garden Décor","38550","0.09"
"80","Lights and switches","37500","0.09"
"81","Home Cinema, TV & Video","35300","0.09"
"82","Fireplaces, Stoves & Accessories","34550","0.08"
"83","Toy Advent Calendars","33200","0.08"
"84","Remote & App-Controlled Devices","33050","0.08"
"85","Kitchen & Bath Fixtures","32850","0.08"
"86","Clocks","32400","0.08"
"87","Hallway Furniture","30450","0.07"
"88","Bathroom Furniture","30350","0.07"
"89","Home Fragrance","30150","0.07"
"90","Signs & Plaques","29250","0.07"
"91","Storage & Home Organisation","28650","0.07"
"92","Rough Plumbing","25550","0.06"
"92","Microphones","25550","0.06"
"94","Coffee & Espresso Machines","25400","0.06"
"95","Cookware","24450","0.06"
"96","Calendars & Personal Organisers","23900","0.06"
"97","Household Batteries, Chargers & Accessories","22000","0.05"
