"Rank","ASIN","Reviews"
"1","B00NTCH52W",1356658
"1","B07KX2N355",1356658
"1","B00O869KJE",1356658
"1","B01B8R6V2E",1356658
"1","B00LH3DMUO",1356658
"1","B00MNV8E0C",1356658
"1","B094D5Y9WS",1356658
"1","B00NTCHCU2",1356658
"1","B07KWYGTC6",1356658
"1","B00O869QUC",1356658
"11","B01B8R6PF2",1352534
"12","B0758NHWS8",874007
"12","B073JWXGNT",874007
"12","B073JYVKNX",874007
"12","B073K14CVB",874007
"12","B074RNRM2B",874007
"12","B073JYC4XM",874007
"18","B089DPCJS1",873833
"19","B07SC7BZHR",873832
"20","B07PJV3JPR",547940
"21","B01H7M6YKI",503952
"21","B01D5H93FW",503952
"21","B014I8T0YQ",503952
"21","B014I8SIJY",503952
"21","B014I8SSD0",503952
"21","B01H7M782G",503952
"21","B014I8SX4Y",503952
"21","B014I8T4MO",503952
"21","B014I8TC4E",503952
"21","B014I8SP4W",503952
"31","B014I8TFR8",503951
"32","B0BSGCRVKR",479359
"33","B0014C5S7S",479337
"34","B0BSGKQPN8",477914
"35","B0014C5RNI",474942
"36","B07FCR3316",369839
"36","B07P9W5HJV",369839
"36","B07FCMBLV6",369839
"36","B07P7M6K35",369839
"36","B07FCMKK5X",369839
"41","B06XWMQ81P",369838
"42","B08ZJMJWFW",359448
"43","B08HCPTMJG",359447
"43","B08GYG5SVQ",359447
"43","B08ZJMPY2T",359447
"43","B08GXXKY6P",359447
"43","B08GY8NHF2",359447
"43","B08GY9NYRM",359447
"43","B08GYKNCCP",359447
"43","B08J4HJ98L",359447
