"Category Name","Average Stars","Total Products"
"Luxury Food & Drink","4.55","659"
"Grocery","4.45","6196"
"Laptop Accessories","4.45","229"
"Office Paper Products","4.43","8876"
"Health & Personal Care","4.43","8117"
"Customers' Most Loved","4.40","6684"
"Arts & Crafts","4.39","5707"
"Cameras","4.38","12"
"Water Coolers, Filters & Cartridges","4.37","183"
"USB Hubs","4.35","244"
"Cables & Accessories","4.35","8968"
"Power & Hand Tools","4.33","6394"
"Pet Supplies","4.33","9328"
"Office Supplies","4.32","7282"
"Storage & Organisation","4.30","9021"
"Hardware","4.30","8460"
"Computer Memory Card Accessories","4.29","228"
"Camera & Photo Accessories","4.28","7568"
"Mobile Phones & Communication","4.28","4100"
"Alexa Built-In Devices","4.28","67"
"Computer Memory","4.28","244"
"Beauty","4.27","5803"
"Photo Frames","4.27","251"
"Mobile Phone Accessories","4.26","249"
"Men","4.23","16112"
"Clocks","4.22","232"
"Lights and switches","4.22","165"
"Pens, Pencils & Writing Supplies","4.21","8996"
"Home Cinema, TV & Video","4.20","3951"
"Computer Cases","4.19","221"
"Hobbies","4.19","8859"
"Luggage and travel gear","4.19","14299"
"PC & Video Games","4.19","5132"
"Building Supplies","4.18","5570"
"Bakeware","4.17","232"
"Painting Supplies, Tools & Wall Treatments","4.17","8424"
"Kids' Play Figures","4.16","8973"
"Women","4.15","15871"
"Electrical","4.15","6154"
"Wearable Technology","4.14","7628"
"Children's Bedding","4.14","254"
"Abrasive & Finishing Products","4.14","246"
"Safety & Security","4.14","6365"
"Skin Care","4.14","18506"
"Adapters","4.14","247"
"Motherboards","4.13","256"
"Agricultural Equipment & Supplies","4.13","7889"
"Vases","4.13","244"
"Beer, Wine & Spirits","4.13","9266"
"Gardening","4.13","6383"
"Mattress Pads & Toppers","4.12","759"
"Slipcovers","4.12","189"
"Games & Game Accessories","4.10","8976"
"Window Treatments","4.10","234"
"Hi-Fi & Home Audio Accessories","4.09","4895"
"Lighting","4.09","48"
"Tablet Accessories","4.08","521"
"Hair Care","4.08","13373"
"Mirrors","4.08","163"
"Data Storage","4.07","7956"
"Coffee & Espresso Machines","4.06","501"
"Decorative Home Accessories","4.04","254"
"Car & Motorbike","4.04","9171"
"Plugs","4.04","102"
"Candles & Holders","4.04","246"
"Baby","4.03","10652"
"Headphones, Earphones & Accessories","4.03","4452"
"Kids' Art & Craft Supplies","4.03","9349"
"Tableware","4.03","241"
"Kitchen Linen","4.03","239"
"Bathroom Lighting","4.03","250"
"Jigsaws & Puzzles","4.02","9239"
"Power Supplies","4.00","240"
"Indoor Lighting","4.00","7015"
"Home Entertainment Furniture","3.99","2056"
"Torches","3.99","62"
"Portable Sound & Video Products","3.97","5880"
"Building & Construction Toys","3.97","8966"
"Men's Sports & Outdoor Shoes","3.96","2832"
"Graphics Cards","3.96","245"
"Office Electronics","3.96","3497"
"CPUs","3.95","241"
"Keyboards, Mice & Input Devices","3.94","9137"
"Women's Sports & Outdoor Shoes","3.94","1932"
"Garden Tools & Watering Equipment","3.94","7329"
"Boys","3.93","11651"
"Printers & Accessories","3.93","8602"
"Garden Décor","3.92","8791"
"Bath & Body","3.92","14681"
"Industrial Electrical","3.91","214"
"Vacuums & Floorcare","3.88","6778"
"Light Bulbs","3.88","8927"
"Girls","3.87","9836"
"Cushions & Accessories","3.86","4220"
"Coffee, Tea & Espresso","3.86","6517"
"Large Appliances","3.85","7298"
"Home Bar Furniture","3.85","681"
"Small Kitchen Appliances","3.85","7689"
"Home Fragrance","3.83","257"
"Heating, Cooling & Air Quality","3.82","4362"
"Home Entertainment","3.82","151"
"Kids' Dress Up & Pretend Play","3.81","8853"
"Make-up","3.80","18212"
"Guitars & Gear","3.79","9253"
"Bathroom Furniture","3.79","2563"
"Decorative Artificial Flora","3.79","242"
"Signs & Plaques","3.79","5155"
"Soft Toys","3.79","8995"
"Film Cameras","3.76","994"
"Living Room Furniture","3.76","5692"
"Motorbike Clothing","3.76","481"
"Dining Room Furniture","3.75","1619"
"School & Educational Supplies","3.74","7545"
"Ski Helmets","3.74","252"
"Doormats","3.74","245"
"Garden Furniture & Accessories","3.73","9239"
"Outdoor Cooking","3.73","8434"
"Outdoor Heaters & Fire Pits","3.72","246"
"Bathroom Linen","3.72","398"
"Recording & Computer","3.71","2507"
"Kitchen & Bath Fixtures","3.71","7767"
"Household Batteries, Chargers & Accessories","3.70","9032"
"Baby & Toddler Toys","3.70","8908"
"Dolls & Accessories","3.70","9283"
"Learning & Education Toys","3.70","5062"
"Manicure & Pedicure Products","3.69","16972"
"Sports Toys & Outdoor","3.68","9012"
"Plants, Seeds & Bulbs","3.68","9300"
"Boxes & Organisers","3.68","834"
"Bedroom Furniture","3.68","4701"
