"Rank","ASIN","Title","Price","Stars","Price-To-Value Ratio"
"1","B07QLN2SHP","Eco-friendly glassine wedding favour seed bags different sizes - Let love grow biodegradable favour bags","5.0","5.0","1.00000"
"1","B08HHDNHCW","Hello I'm New Here - Fill In Your Own Details - New Baby Birth Announcement Wooden Plaque Sign","5.0","5.0","1.00000"
"1","B0BC67L774","Birthday Seed Packets x 10 £5 Wildflower Party Bag Fillers Personalised with Your Child's Name & Birthday 1st Class Postage BEE","5.0","5.0","1.00000"
"1","B0BRQLF4X9","Funko POP! Keychain: Crocodile Hunter-Steve Irwin Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Backpack Decor","5.0","5.0","1.00000"
"1","B076GMT3NR","Christmas Gift Tags, Love This, Present Accessories White (Pack of 8)","5.0","5.0","1.00000"
"1","B01KYQPCD4","Lasa Aromatics Natural Perfume Oil Patchouli Fragrance 100% Pure and Natural - 10ml","5.0","5.0","1.00000"
"7","B06XSD85QV","Cooker Hood Filters Kit for Hotpoint Extractor Fan Vent Grease Carbon Filter","5.04","5.0","1.00800"
"8","B003325CCS","FRILLY LILY DOLLS FAIRY VEST AND PANTS UNDERWEAR SET FOR DOLLS 35-45 CM[ 14-18 INS DOLLS] FOR DOLLS SUCH AS OUR GENERATION","5.0","4.9","1.02041"
"8","B08JH5M6BQ","Me To You AP473022 Nala the Narhwal My Blue Nose Friend","5.0","4.9","1.02041"
"8","B0BRQMWQ95","Funko POP! Keychain: MHA - Dabi - (Hideout) - My Hero Academia Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Anime Fans - Backpack Decor","5.0","4.9","1.02041"
"8","B09V85RNL1","Funko POP! Keychain: DC - the Flash - DC Comics Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Comic Books Fans - Backpack Decor","5.0","4.9","1.02041"
"8","B09V86LY9W","Funko POP! Keychain: DC - the Flash - Batman - DC Comics Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Comic Books Fans - Backpack Decor","5.0","4.9","1.02041"
"8","B0BH4Z7SP7","10 X UNPERSONALISED Christmas Seed Packets – Quick Dispatch - When Christmas is Over - Table Decoration, Stocking Filler, Small Gift, Card Filler - Eco Friendly Stocking Filler Flowers","5.0","4.9","1.02041"
"8","B0C89FC6C9","Disabled Toilet Key x3 for NKS Radar Toilets, Accessible Loos, Pubs, Cafes, Easy Grip Red Key | 3 Pack | Lokko","5.0","4.9","1.02041"
"8","B078G4R7KW","Personalised Save The Date Wedding Birthday Christening Night Evening Cards X 10 Kraft Bunting Postcard A6 SD316","5.0","4.9","1.02041"
"8","B0816V6TCY","Nightmare Before Christmas Metal Snowflake Festive decoration from hand drawn artwork","5.0","4.9","1.02041"
"8","B07GZ23XXP","The Konjac Sponge Co The Elements Air with Calming Chamomile and Pink Clay Facial Sponge - Sensitive, Cleansing and Exfoliating Tool","5.0","4.9","1.02041"
"8","B0BG7DDLXH","Funko POP! Keychain: Spider-Man: Across the Spider-Verse - the Spot - Spiderman Into the Spiderverse 2 Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise","5.0","4.9","1.02041"
"8","B0BXTC83SH","WOW! STUFF - Nano Pods Marvel Surprise Connectable Collectible, Avengers Superheroes and Villains Characters Attached within a Connectable Pod, for Kids and Adult toy Collectors","5.0","4.9","1.02041"
"20","B01L359TVG","Citadel - Caliban Green - Base Paint by Games Workshop","5.05","4.9","1.03061"
"21","B01M673QL0","East Of India: Porcelain Sign: Friendship Is Like Sunshine","5.08","4.9","1.03673"
"22","B09DPSL3KQ","Mini Mio Sweet Cheeks Moisturiser 150 ml | Suitable for Delicate Baby and Child Skin | Formulated by Dermatologists","5.2","5.0","1.04000"
"23","B09QDJLMBJ","BULLDOG - Bodycare for Men | Original Hand Wash | Hydrates and Nourishes Skin | 300 ml","5.0","4.8","1.04167"
"23","B077ZJWJSC","POPESQ® - 10 pcs. x DIP Socket 14 pin 0.3""/7.62mm #A1931","5.0","4.8","1.04167"
"23","B07KX4FR29","POPESQ® 100 pcs. x Resistor 2.2 KOhm (2K2) 0.6W (Suitable also as 0.25W or 0.5W) Metal film (1%) #A2421","5.0","4.8","1.04167"
"23","B07QPPTLSR","Eco-friendly glassine wedding confetti bags - different sizes available - Throw Me biodegradable wedding favor bags","5.0","4.8","1.04167"
"23","B000T994QI","Olay Beauty Fluid Face And Body Moisturiser, with glycerin, 200 ml (Pack of 1)","5.0","4.8","1.04167"
"23","B083RDWJPD","Vital Baby NOURISH Store & Wean Pots - Storage Pots with Soft Bases & Sides - Stackable - Leakproof lids - Bright Colours - BPA, Phthalate & Latex Free - Ideal for Weaning & Snacks - 6pk 2oz / 60ml","5.0","4.8","1.04167"
"23","B009LIZESA","Sex Wax Wax Surf Quick Humps orange Firm","5.0","4.8","1.04167"
"23","B0036ZG19A","Liverpool FC Sound Greeting Card, SC120","5.0","4.8","1.04167"
"23","B01CR11BQG","Roland Rmidi-B3 Black Series Midi Cable. Straight Din Connectors, 3Ft / 1M Length.","5.0","4.8","1.04167"
"23","B07TWXVS4Q","Personalised Teacher Stickers - Cute Animals - Pack of 70","5.0","4.8","1.04167"
"23","B07TVV6DZ8","Personalised Teacher Stickers - Woodland Friends - Pack of 70","5.0","4.8","1.04167"
"23","B07XZYW9J7","Cards Against Humanity: Ass Pack • Mini Expansion","5.0","4.8","1.04167"
"23","B089QC5K5F","Waystosaythankyou 10 x Teacher to Student Seed Gifts Seed Packets - Personalised - Wildflower - Class gift","5.0","4.8","1.04167"
"23","B00JMN0FN8","Cards Against Humanity: 90s Nostalgia Pack • Mini expansion","5.0","4.8","1.04167"
"23","B07WC629GH","Swann Morton Standard Scalpel Handles, No.3 No.3L, No.4, No.4L, No.5B, No.7, No.9, No.B3, No.B3L, Made in UK (No.3)","5.0","4.8","1.04167"
"23","B075X1V3LX","Birthday Seed Packets x 10 Wildflower Party Bag Fillers Personalised with Your Child's Name & Birthday 1st Class Postage","5.0","4.8","1.04167"
"23","B0002M95ZC","Trangia Stove Strap, Black, Size 25","5.0","4.8","1.04167"
"23","B09XF4NZQ9","62 Pcs Cute Cat Stickers Pack, iMaMa Sweet Scrapbook Stickers, Waterproof Vinyl Aesthetic Stickers for Laptop, Skateboard, Water Bottles, Gift for Adults Teens Boys Girls Kids","5.0","4.8","1.04167"
"23","B00EB88MBG","Mary Poppins [DVD]","5.0","4.8","1.04167"
"23","B00005UO5L","The Italian Job [DVD] [1969]","5.0","4.8","1.04167"
"23","B0BG6FCSQG","Funko POP! Keychain: Indiana Jones ROTLA - Indiana Jones - Raiders Of the Lost Ark Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Movies Fans","5.0","4.8","1.04167"
"23","B077LTF9VM","Cards Against Humanity: Period Pack","5.0","4.8","1.04167"
"23","B08RZD44VH","Funko Pop! Keychain: Star Wars - Han Solo Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Movies Fans - Backpack Decor","5.0","4.8","1.04167"
"23","B07NBR59QV","Play-Doh 8 Pack Rainbow Non-Toxic Modeling Compound with 8 Colours, Multicolor, 216 x 57 x 162 millimeters","5.0","4.8","1.04167"
"23","B07LC6Y758","Schindler's List - 25th Anniversary Bonus Edition (DVD) [2018]","5.0","4.8","1.04167"
"23","B09LHXH5RQ","Funko POP! Keychain: JW3 - Slasher Dino - Therizinosaurus - Jurassic World 3 Novelty Keyring - Collectable Mini Figure - Stocking Filler - Gift Idea - Official Merchandise - Movies Fans","5.0","4.8","1.04167"
"23","B097BP364P","Dove Coconut and Cacao Restoring Care Bath Salts with skin-natural moisturisers relaxing your mind & body, leaving your skin smooth & soft 900 g","5.0","4.8","1.04167"
"23","B0882711QH","Sanctuary Spa Hand Sanitiser Gel Spray with Moisturiser, 70% Alcohol, Kills 99.9% Bacteria, Vegan and Cruelty Free, 100 ml","5.0","4.8","1.04167"
