"ASIN","Title","Category Name","Price","Stars","Reviews","Final Score"
"B07NBR59QV","Play-Doh 8 Pack Rainbow Non-Toxic Modeling Compound with 8 Colours, Multicolor, 216 x 57 x 162 millimeters","Kids' Art & Craft Supplies","5.0","4.8",31781,"975.00"
"B00EB88MBG","Mary Poppins [DVD]","Portable Sound & Video Products","5.0","4.8",17013,"973.26"
"B002JFR8Q8","4-Color Ballpoint Retractable Pen, Assorted Ink, Medium, 3 per Pack, Sold as One Pack","Pens, Pencils & Writing Supplies","5.15","4.8",19790,"973.04"
"B005EJFL0G","Duracell Plus AAA Batteries Pack of 8","Household Batteries, Chargers & Accessories","5.45","4.8",67567,"972.96"
"B077LTF9VM","Cards Against Humanity: Period Pack","Hobbies","5.0","4.8",12526,"971.84"
"B000GKUEVE","Hot Wheels, Pack of 5","Kids' Play Vehicles","5.0","4.8",11542,"971.41"
"B00JMN0FN8","Cards Against Humanity: 90s Nostalgia Pack • Mini expansion","Games & Game Accessories","5.0","4.8",10831,"971.03"
"B005EJFL42","Duracell Plus AA Batteries Pack of 8","Household Batteries, Chargers & Accessories","5.79","4.8",71679,"970.84"
"B000WHHKEU","Lansinoh Disposable Breast Pads for nursing breastfeeding mothers, essential for hospital bag, thin super absorbent layers, discreet fit , 60 Count ( Pack of 1)","Health & Personal Care","5.5","4.8",19795,"970.78"
"B084HT3VWW","Method Antibacterial Spray Refill, All Purpose Cleaner, Wild Rhubarb, 2L","Health & Personal Care","5.6","4.8",21281,"970.40"
"B000LNEB9W","Sudocrem Antiseptic Healing Cream, 400g ( Pack of 1)","Health & Personal Care","5.65","4.8",21421,"970.23"
"B0009F3O8Q","Palmer's, Cocoa Butter Formula Moisturizing Lotion with Glycerin - 41656NEU, coco, 400 ml","Skin Care","5.99","4.8",36536,"968.97"
"B00BN8JUCC","Weleda Baby Calendula Nappy Cream, 75ml (Pack of 1)","Health & Personal Care","5.5","4.8",12806,"968.93"
"B07XZYW9J7","Cards Against Humanity: Ass Pack • Mini Expansion","Games & Game Accessories","5.0","4.8",7690,"968.51"
