"Category Name","Underpriced Count","Overpriced Count"
"Sports & Outdoors","630373","127099"
"Fragrances","10515","4802"
"Handmade Artwork","10103","3301"
"Make-up","9616","4395"
"Handmade Clothing, Shoes & Accessories","9212","4039"
"Skin Care","8829","5031"
"Men","8426","3811"
"Manicure & Pedicure Products","8183","4107"
"Luggage and travel gear","7852","3369"
"Handmade Gifts","7617","3568"
"Handmade Jewellery","7335","2830"
"Bath & Body","7102","4067"
"Fireplaces, Stoves & Accessories","6924","1746"
"Hi-Fi Receivers & Separates","6845","1596"
"Women","6793","3776"
"Piano & Keyboard","6582","1967"
"Guitars & Gear","6571","1691"
"Hair Care","6497","3615"
"Construction Machinery","6280","1622"
"Networking Devices","6074","2071"
"Microphones","5998","1978"
"Surveillance Cameras","5912","2222"
"Telephones, VoIP & Accessories","5890","2037"
"Rough Plumbing","5888","1749"
"Storage & Home Organisation","5831","1720"
"Headphones & Earphones","5824","1770"
"Scanners & Accessories","5800","1895"
"Handmade Home Décor","5800","1878"
"Hi-Fi Speakers","5790","2033"
"Computer Audio & Video Accessories","5768","2107"
"Binoculars, Telescopes & Optics","5740","1943"
"Garden Furniture & Accessories","5652","2272"
"Flashes","5652","2263"
"Keyboards, Mice & Input Devices","5628","1890"
"Electronic Toys","5615","1712"
"GPS, Finders & Accessories","5586","1787"
"Pools, Hot Tubs & Supplies","5576","1548"
"Car & Motorbike","5540","1853"
"Sports Toys & Outdoor","5449","2036"
"Boys","5422","2883"
"Remote & App-Controlled Devices","5412","1806"
"Projectors","5394","1960"
"Large Appliances","5370","1554"
"Garden Storage & Housing","5365","1757"
"Data Storage","5344","1800"
"Table Tennis","5293","740"
"Furniture & Lighting","5258","2150"
"Wearable Technology","5229","1015"
"Media Streaming Devices","5176","2068"
"Monitors","5112","1820"
"Household Batteries, Chargers & Accessories","5107","2275"
"Computer Printers","5063","1899"
"Outdoor Cooking","5058","1745"
"Building & Construction Toys","4981","2117"
"KVM Switches","4965","1111"
"Office Paper Products","4958","2153"
"Kitchen & Bath Fixtures","4919","1849"
"Small Kitchen Appliances","4910","1782"
"Garden Décor","4900","2063"
"Baby","4843","2371"
"Kids' Play Vehicles","4841","2300"
"Barebone PCs","4810","3842"
"Camera & Photo Accessories","4791","1659"
"PC Gaming Accessories","4771","2187"
"Vacuums & Floorcare","4734","1102"
"Birthday Gifts","4715","1392"
"Dolls & Accessories","4684","2506"
"Handmade Kitchen & Dining","4678","4053"
"Synthesisers, Samplers & Digital Instruments","4642","1948"
"Printers & Accessories","4615","2010"
"Tablets","4507","1175"
"Mobile Phones & Smartphones","4485","1761"
"Sports Supplements","4461","2250"
"Radios & Boomboxes","4440","1913"
"Car & Vehicle Electronics","4384","1730"
"Bird & Wildlife Care","4313","1979"
"Plants, Seeds & Bulbs","4285","2697"
"Pens, Pencils & Writing Supplies","4274","2344"
"Hobbies","4204","2147"
"Snow Sledding Equipment","4198","1764"
"Painting Supplies, Tools & Wall Treatments","4167","2107"
"Kids' Play Figures","4160","2264"
"Games & Game Accessories","4140","2346"
