"ASIN","Title","Price","Price Category","Category Name","Average Category Price","Price Difference"
"B0002AGH0K","Epson EPL N7000DT Printer - B/W - duplex - laser - A3, Ledger - 1200 dpi - up to 35 ppm - capacity: 1200 sheets - parallel, USB, 10/100Base-TX","2187.43","Overpriced","Computer Printers","250.64","1936.79"
"B0002AG17Y","Lexmark X632 MFP - Multifunction (B/W) - laser - copying (up to): 40 ppm - printing (up to): 40 ppm - 500 sheets - 33.6 Kbps - parallel, USB, 10/100 Base-TX","2136.93","Overpriced","Computer Printers","250.64","1886.29"
"B0000ASR2C","OKI Microline 395 24-pin - dot matrix printers (360 x 360 DPI, A3 (297 x 420 mm), 607 cps, 405 cps, 5 million characters, 58 dB)","2117.12","Overpriced","Computer Printers","250.64","1866.48"
"B00009VFDT","HP LaserJet 4200dtnsl - Printer - B/W - duplex - laser - Legal, A4 - 1200 dpi x 1200 dpi - up to 33 ppm - capacity: 1100 sheets - parallel, 10/100Base-TX","1998.0","Overpriced","Computer Printers","250.64","1747.36"
"B00009MDBQ","Nikon AF-S VR Zoom-NIKKOR 70-200mm f/2.8G IF-ED - Bulk packaging (White box, New)","1879.0","Overpriced","Lenses","355.79","1523.21"
"B000283EIU","HP LaserJet 4200dtn - Printer - B/W - duplex - laser - Legal, A4-1200 dpi x 1200 dpi - up to 33 ppm - capacity: 1100 sheets - parallel, 10/100Base-TX","1708.0","Overpriced","Computer Printers","250.64","1457.36"
"B000092T9Z","HP LaserJet 4200tn - Printer - B/W - laser - Legal, A4-1200 dpi x 1200 dpi - up to 33 ppm - capacity: 1100 sheets - parallel, 10/100Base-TX","1708.0","Overpriced","Computer Printers","250.64","1457.36"
"B0000WKO90","Epson FX-890N Impact Printer - dot matrix printers (240 x 144 DPI, 9-pin, Bi-direction, 414 x 350.5 x 176.5 mm, Codabar (NW-7), Code 39, POSTNET, UPC-A, UPC-E, USB 1.1)","1708.0","Overpriced","Computer Printers","250.64","1457.36"
"B000186QEA","HP Color LaserJet 3700n - Printer - colour - laser - Legal, A4 - 600 dpi x 600 dpi - up to 16 ppm (mono) / up to 16 ppm (colour) - capacity: 350 sheets - parallel, USB, 10/100Base-TX","1708.0","Overpriced","Computer Printers","250.64","1457.36"
"B0001GS1CC","HP LaserJet 4200dtn - Printer - B/W - duplex - laser - Legal, A4-1200 dpi x 1200 dpi - up to 33 ppm - capacity: 1100 sheets - parallel, 10/100Base-TX","1708.0","Overpriced","Computer Printers","250.64","1457.36"
"4996930691","Inflatable Paddle Boards Stand Up: 10 feet SUP with Adjustable Paddle Backpack Pump Leash Fin Youth Adults Standup Paddleboard","1489.99","Overpriced","Sports & Outdoors","80.09","1409.90"
"4996930853","Stand-Up Paddleboards-Inflatable Super Stand Up Paddle Board for Adults with Waterproof Backpack Adjustable Fin Paddle Fin Pump","1459.99","Overpriced","Sports & Outdoors","80.09","1379.90"
"B0002AF3KA","Epson DFX 5000 Printer","1627.5","Overpriced","Computer Printers","250.64","1376.86"
"B0001IT0NO","HP LaserJet 4200n - Printer - B/W - laser - Legal, A4-1200 dpi x 1200 dpi - up to 33 ppm - capacity: 600 sheets - parallel, 10/100Base-TX","1618.0","Overpriced","Computer Printers","250.64","1367.36"
"B00015UZFO","HP Color Laserjet 3700N Laser Printer","1618.0","Overpriced","Computer Printers","250.64","1367.36"
"4996930594","Inflatable Stand Up Paddle Board Adult with Accessories and Backpack Non Slip Inflatable Max Weight","1433.99","Overpriced","Sports & Outdoors","80.09","1353.90"
"4996930780","Inflatable SUP Stand Up Paddle Board Durable with Adjustable Paddle Backpack Pump and Leash","1428.99","Overpriced","Sports & Outdoors","80.09","1348.90"
"4996931027","Inflatable Stand Up Paddle Board with Pump Backpack Center For Action Camera Mount kit Valve Adaptor Bundle","1420.99","Overpriced","Sports & Outdoors","80.09","1340.90"
"499693025X","Inflatable Stand Up Paddle Board with Premium SUP Accessories&Carry Bag|Wide Stance, Bottom Fin for Paddling, Surf Control, Non-Slip Deck|Youth&Adult Standing Boat","1420.99","Overpriced","Sports & Outdoors","80.09","1340.90"
"4996930586","Inflatable Stand Up Paddle Board Adult with Accessories and Backpack Non Slip Inflatable Max Weight","1406.99","Overpriced","Sports & Outdoors","80.09","1326.90"
"B0002AGGME","APC Service Bypass Panel - Bypass switch (rack-mountable) - AC 230 V - 10 Output Connector(s)","1549.77","Overpriced","Uninterruptible Power Supply Units & Accessories","242.80","1306.97"
"499693087X","Inflatable Stand Up Paddle Board Surfboard Ultra-Light SUP with Adj Paddle, ISUP Backpack, Pump, Leash for Adults And Kids of All Levels of Surfing","1380.99","Overpriced","Sports & Outdoors","80.09","1300.90"
"499693056X","Inflatable Stand Up Paddle Board 240 x 76 x 10Cm for Youth&Adult with Inflatable SUP Board, Non-Slip Deck, Travel Backpack, Pump, Leash, Water Proof Bag","1380.99","Overpriced","Sports & Outdoors","80.09","1300.90"
"4996930683","9.5'SUP Inflatable Lightweight Paddle Board Stand-Up Paddle Board Competitive Water Paddle Board Beginner Water Ski Board Includes Pump, Paddle, Backpack, Coil Leash","1375.99","Overpriced","Sports & Outdoors","80.09","1295.90"
"B00005LEOS","Nikon Af-S 17-35/2.8D If Zoom Nikkor","1619.0","Overpriced","Lenses","355.79","1263.21"
"4996929855","Inflatable Stand up Paddle Boards with Premium SUP Accessories Included Hand Pump Adjustable Paddle Fin Leash Backpack","1337.99","Overpriced","Sports & Outdoors","80.09","1257.90"
"B000244ZIM","Epson DLQ3500 Dot Matrix 24-PIN 136COL 198CPS","1462.31","Overpriced","Computer Printers","250.64","1211.67"
"499692960X","Inflatable Stand Up Paddle Board with Detachable Kayak Seat&Premium SUP Accessories&Carry Bag Standing Boat with Non-Slip","1281.99","Overpriced","Sports & Outdoors","80.09","1201.90"
"B00007EE8M","Canon EF 24-70mm f/2.8 L USM Lens","1549.0","Overpriced","Lenses","355.79","1193.21"
"B0001FY2MQ","HP LaserJet 4200 - Printer - B/W - laser - Legal, A4 - 1200 dpi x 1200 dpi - up to 33 ppm - capacity: 600 sheets - parallel","1428.0","Overpriced","Computer Printers","250.64","1177.36"
"B000092T9X","HP LaserJet 4200 - Printer - B/W - laser - Legal, A4-1200 dpi x 1200 dpi - up to 33 ppm - capacity: 600 sheets - parallel","1428.0","Overpriced","Computer Printers","250.64","1177.36"
"B00009YUPU","APC Smart UPS Battery","1409.42","Overpriced","Uninterruptible Power Supply Units & Accessories","242.80","1166.62"
"B00008VF26","APC Smart-UPS RT 192V Battery Pack","1408.59","Overpriced","Uninterruptible Power Supply Units & Accessories","242.80","1165.79"
"B0000C16R8","Fujinon Techno Stabi TS1440-14x40 Image Stabilization Binocular","1395.0","Overpriced","Binoculars, Telescopes & Optics","246.45","1148.55"
"B000144I2Q","Nikon AF-S DX NIKKOR 17-55mm f/2.8G IF ED","1479.99","Overpriced","Lenses","355.79","1124.20"
"499693106X","Surfboard,SUP Surfboard Kit Adjustable Paddle,Inflatable Stand Up Paddle Board,for Adult Beginners/Intermediate,with Backpack,Tailfin,Foot Rope,Air Pump,Repair Kit,320×84×15Cm","1148.99","Overpriced","Sports & Outdoors","80.09","1068.90"
"B00024JZVE","HP LaserJet 2500TN Colour Printer","1298.83","Overpriced","Computer Printers","250.64","1048.19"
"B00007EE7B","Canon 4624A014 18 x 50 Image Stabilising All Weather Binoculars - Black","1189.0","Overpriced","Binoculars, Telescopes & Optics","246.45","942.55"
"4996930810","Inflatable SUP Board Set, 15 Cm Thick, 320 X 76 X 15 Cm, 3 Piece SUP Paddle Board Adjustable Aluminium Paddle Board Complete Accessories","998.99","Overpriced","Sports & Outdoors","80.09","918.90"
"B0000C6BAB","Epson FX 2190 - Printer - B/W - dot-matrix - Roll (21.6 cm), 406.4 mm (width) - 9 pin - up to 680 char/sec - parallel, USB","1138.0","Overpriced","Computer Printers","250.64","887.36"
"4996930837","Inflatable SUP Board, Paddle Board Stand Up Paddling Set 330 Pound Load Adjustable Paddle Surfboard 10' X 30"" X 6"" for Beginner","955.99","Overpriced","Sports & Outdoors","80.09","875.90"
"4996930403","Inflatable Stand Up Paddle Board Surfing SUP Boards, 6 Inches Thick Boards with Free SUP Accessories&Backpack, Paddle And Hand Pump, for All Levels,Light","951.99","Overpriced","Sports & Outdoors","80.09","871.90"
"4996929537","Inflatable Stand Up Paddle Board with SUP Accessories Carry Bag, Surf Control, Standing Boat for Youth&Adult,Light","932.99","Overpriced","Sports & Outdoors","80.09","852.90"
"499692988X","Inflatable Stand-Up Board 6-Inch Thick Paddle Board with SUP Accessories And Carrying Bag Manual Pump Fins Stand-Up Board for Teenagers And Adults,Light","932.99","Overpriced","Sports & Outdoors","80.09","852.90"
"4996931000","Inflatable SUP Stand Up Paddle Board, SUP Package with Accessories Stand-Up Paddleboarding,Light","929.99","Overpriced","Sports & Outdoors","80.09","849.90"
"B000092TAK","HP LaserJet 2300n - Printer - B/W - laser - Legal, A4-1200 dpi x 1200 dpi - up to 24 ppm - capacity: 350 sheets - parallel, USB, 10/100Base-TX","1048.0","Overpriced","Computer Printers","250.64","797.36"
"4996929847","Inflatable Stand Up Paddle Board, SUP Board 6 Thick Surfboard Lightweight Non-Slip EVA Deck SUP Package Complete Kit with SUP Accessory Carry Bag for Fishing Yoga Surfing","874.99","Overpriced","Sports & Outdoors","80.09","794.90"
"B0000ASOPU","Epson LQ 2180 - Printer - B/W - dot-matrix - A3 - 360 dpi x 360 dpi - 24 pin - up to 480 char/sec - parallel - AC 230V","1039.31","Overpriced","Computer Printers","250.64","788.67"
"B00008POKU","APC SUA750RMI1U Smart-UPS,480 Watts /750 VA,Input 230V /Output 230V, Interface Port DB-9 RS-232, SmartSlot, USB, Rack Height 1 U","997.69","Overpriced","Uninterruptible Power Supply Units & Accessories","242.80","754.89"
"B00007EE9B","Canon CAN1001 15 x 50 Image Stabilising All Weather Binoculars, Black","1001.14","Overpriced","Binoculars, Telescopes & Optics","246.45","754.69"
"B00009XVOT","Pentax Spotting Scope PF-80EDA W/C","999.35","Overpriced","Binoculars, Telescopes & Optics","246.45","752.90"
"B00009XVOR","Pentax Spotting Scope PF-80ED","979.99","Overpriced","Binoculars, Telescopes & Optics","246.45","733.54"
"B00023GNUQ","Lexmark Optra C720N Colour Laser Printer","983.97","Overpriced","Computer Printers","250.64","733.33"
"B0000AKGOW","Epson LX 300+ - Printer - B/W - dot-matrix - A4, A4 Super - 240 dpi x 144 dpi - 9 pin - up to 337 char/sec - parallel, serial","948.0","Overpriced","Computer Printers","250.64","697.36"
"B00013Q0M8","Epson LX 300+ - Printer - B/W - dot-matrix - JIS B4, Roll (25.4 cm x 55.9 cm) - 12 cpi x 12 cpi - 9 pin - up to 337 char/sec - parallel, serial","948.0","Overpriced","Computer Printers","250.64","697.36"
"B0000AKGOY","Epson FX-2180 9-pin Wide Carriage 136 Column Dot Matrix Printer - Parallel Interface - C11C244031 / P362A","944.66","Overpriced","Computer Printers","250.64","694.02"
